ABOHAR,BAGALKOT,CALICUT (KOZHIKODE),GAUTAM BUDDHA NAGAR,KADAPA,NADIAD,SAGAR,VADAPALANI,SIDDEPET
AGARTHALA,BAHRAICH,CHANDIGARH,GAYA,KAKINADA,NAGAON,SAHARANPUR,VALSAD,AMEERPET
AGRA,BALAGHAT,CHANDRAPUR,GHAZIABAD,KALAHANDI,NAGERCOIL,SAHARSA,VAPI,GACHIBOWLI
AHMEDABAD,BALASORE,CHAPPRA,GHAZIPUR,KALYANI,NAGPUR,SALEM,VARANASI,MULUND
AHMEDNAGAR,BALLIA,CHENGALPATTU,GIRIDIH,KANCHIPURAM,NALGONDA,SAMASTIPUR,VASHI,VISAKHAPATNAM
AJMER,BANDA,CHENNAI,GOA,KANGRA,NAMAKKAL,SAMBALPUR,VELLORE,DEWAS
AKOLA,BANKURA,CHHATARPUR,GONDA,KANNUR,NANDED,SANGAMNER,VIDISHA,CHANDRANAGAR
ALIBAGH,BANSWARA,CHHINDWARA,GORAKHPUR,KANPUR,NANDYAL,SANGAREDDY,VIJAYAWADA,VELANCHERY
ALIGARH,BARAMATI,CHITRAKOOT,GUDUR,KAPURTHALA,NASHIK,SANGLI,VIZAG,TRIPLICANE
ALLAHABAD (PRAYAGRAJ),BARAMULLA,CHITTOOR,GULBARGA,KARIMNAGAR,NAVI MUMBAI,SANGRUR,WARANGAL,MYLAPORE
ALLEPPEY (ALAPPUZHA),BARASAT,CHURU,GUNA,KARNAL,NAVSARI,SATARA,WARDHA,POONMALLE
ALMORA,BAREILLY,COCHIN/KOCHI/ERNAKULAM,GUNTUR,KARUR,NAWADA,SECUNDERABAD,YAMUNA NAGAR,ADYAR
ALWAR,BARMER,COIMBATORE,GURDASPUR,KASARAGOD,NELLORE,SHAJAHANPUR,,PORUR
AMALAPURAM,BARNALA,CONTAI,GURGAON,KASHIPUR,NIZAMABAD,SHILLONG,,ANNANAGAR
AMBALA,BARODA,COOCH BEHAR,GUWAHATI,KATHUA,NOIDA,SHIMLA,,PURUSAVAKKAM
AMBEDKAR NAGAR,BARPETA,CUDDALORE,GWALIOR,KATNI,NORTH 24 PARGANAS,SHIMOGA,,CHANDANAGAR
AMBIKAPUR,BARRACKPORE,CUTTACK,HAJIPUR,KHAMMAM,ODISHA,SHIVPURI,TANUKU,KOMPALLI
AMRAVATI,BARUIPUR,DALTONGANJ,HALDWANI,KHARGAONE,ONGOLE,SHRIRAMPUR,SAHEBGANJ,KONDAPUR
AMRELI,BASHIRHAT,DARBHANGA,HAMIRPUR,KHARGONE,ORAI,SIDDHARTHNAGAR,MALEGAON,HITECH CITY (AP)
AMRITSAR,BASTI,DAVANGERE,HANUMANGARH,KOLHAPUR,OSMANABAD,SIKAR,FORBESGANJ,KATHRIGUPPE
ANAND,BATALA,DEHRADUN,HAPUR,KOLKOTTA,PADRONA,SILCHAR,BARIPADA,INDIA NAGAR
ANANTAPUR,BATHINDA,DELHI (NCR),HARIDWAR,KOLLAM,PALAKKAD,SILIGURI,KAITHAL,JP NAGAR
ANANTNAG,BEED,DELHI CENTRAL,HASSAN,KORAPUT,PALANPUR,SIRSA,IDUKKI,BTM
ANDRA PRADESH,BEGUSARAI,DELHI EAST,HATHRAS,KOTA,PANIPAT,SIRSI,ALUVA,KORAMANGALE
ANGUL,BELGAUM,DELHI NORTH,HAZARIBAGH,KOTTAYAM,PANJIM,SITAMARHI,MUVATTUPUZHA,HOSUR
ARRAH,BELLARY,DELHI SOUTH,HIMATNAGAR,KRISHNAGIRI,PANVEL,SITAPUR,VILLUPURAM,PATHANAMTHITTA
ASANSOL,BANGALORE,DELHI WEST,HINDUPUR,KRISHNANAGAR,PARBHANI,SIWAN,PANCHKULA,KARUNAGAPPALLY
ASSAM,BERHAMPORE (WB),DEOGHAR,HINGOLI,KUKATPALLY,PATHANKOT,SOLAN,DILSUKHNAGAR,KOTTARAKKARA
AUNDH,BERHAMPUR (ORISSA),DEORIA,HISSAR,KUMBAKONAM,PATIALA,SOLAPUR,MEHNDIPATANAM,ATTINGAL
AURANGABAD (CH SAMBHAJI NAGAR),BETTIAH,DHANBAD,HOOGHLY,KURNOOL,PATNA,SONIPAT,KATTAPPANA,NEYYATINKARA
AURANGABAD (BIHAR),BHADRAK,DHARMAPURI,HOSHANGABAD,KURUKSHETRA,PCMC,SRIKAKULAM,KALPETTA,KANYAKUMARI
AZAMGARH,BHAGALPUR,DHUDRI,HOSHIARPUR,LAKHIMPUR (ASSAM),PERINTHALMANNA,SRINAGAR,WAYANAD,OTTAPALAM
,BHAIRAICH,DHULE,HOWRAH,LAKHIMPUR KHERI (UP),PILIBHIT,SULTANPUR,SRIGANGANAGAR,KOTTAKKAL
,BHARATPUR,DIBRUGARH,HUBLI,LATUR,PUDUCHERRY ,SURAT,CHANDANAGAR,VADAKARA
,BHARUCH,DIMAPUR,HYDERABAD,LUCKNOW,POLLACHI,SURYAPET,CHINCHWAD,THALASSERY
,BHAVNAGAR,DINDIGUL,IMPHAL,LUDHIANA,PONDICHERRY,TAMBARAM,BEHALA,CHERTHALA
,BHILWARA,DUMKA,INDORE,MADHUBANI,PRATAPGARH,TAMLUK,ROBERTSGANJ,PALA
,BHIMAVARAM,DURG,JABALPUR,MADHYA PRADESH,PUNE,TANJORE,DIAMOND HARBOUR,MAHE
,BHIWANI,DURGAPUR,JAIPUR,MADURAI,PURI,TELANGANA,GHATKOPER,MALAPPURAM
,BHOPAL,ELURU,JALANDHAR,MAHABUBNAGAR,PURNEA,TENALI,JAYANAGAR,
,BHUBANESWAR,ERODE,JALGAON,MAHARASHTRA,RAEBARELI,TEZPUR,BHAVANIPATNA,
,BHUJ,ETAH,JALNA,MAINPURI,RAIPUR,THANE,KALYAN,
,BIDAR,ETAWAH,JAMMU,MALDA,RAIGAN,THANJAVUR,YAMUNA VIHAR BELT,
,BIHAR,AYODHYA (FAIZABAD),JAMNAGAR,MANDI,RAIGARH (CT),THENI,BARSHI,
,BIHAR SHARIFF,FARIDABAD,JAMSHEDPUR,MANDSAUR,RAIGARH (MH),THIRUVALLA,YAWATMAL,
,BIJAPUR,FARIDKOT,JAMUI,MANGALORE,RAIPUR,THIRUVANAMALAI,VAIZAG,
,BIJNOR,FARRUKHABAD,JAUNPUR,MANJERI,RAJAMUNDRY,THRISSUR,NARAYNGAON,
,BIKANER,FATEHPUR,JEYPORE,MANSA,RAJKOT,TIRUCHIRAPPALLI,KASGANJ,
,BILASPUR,FEROZEPUR,JHANSI,MARIGAON,RAMNAD,TIRUNELVELI,VIZINAGARAM,
,BOKARO,FIROZABAD,JHARKHAND,MATHURA,RAMPUR,TIRUPATI,PARADIP,
,BOLANGIR,FIROZPUR,JIND,MAYILADUTHURAI,RANCHI,TIRUPUR,THODUPUZHA,
,BONGAIGAON,,JODHPUR,MEDNIPUR,RATLAM,TIRUR,BURHANPUR,
,BULANDSHAHR,,JUNAGADH,MEERUT,RATNAGIRI,TIRUVALLUR,HAZIPUR,
,BURDWAN,,,MEHSANA,REWA,TRICHY,RAMGARH,
,BUXAR,,,MIDANAPORE,REWARI,TRIVANDRUM,AVADI,
,,,,MIRZAPUR,RISHIKESH,TUMKUR,AMBATTUR,
,,,,MOGA,ROHTAK,UDAIPUR,BARGARH,
,,,,MOHALI,ROORKEE,UDHAM SINGH NGAR,BEAWAR,
,,,,MORADABAD,ROURKELA,UDUPI,BETUL,
,,,,MORENA,RUDRAPUR,UJJAIN,UDGIR,
,,,,MOTIHARI,RUPNAGAR,UNNAO,DHAMPUR,
,,,,MUKTSAR,,UTTAR PRADESH,VADODARA,
,,,,MUMBAI CENTRAL TRACK,,,HOSUR,
,,,,MUMBAI,,,DOMBIVALLI,
,,,,MUMBAI SOUTH,,,SION,
,,,,MUMBAI WESTERN TRACK,,,MYLAPORE,
,,,,MUZAFFARNAGAR,,,DUM DUM,
,,,,MUZAFFARPUR,,,CHEMBUR,
,,,,MYSORE,,,MANCHIERYAL,
